trigram,frekuensi
"('metode', 'pembelajaran', 'berbasis')",26
"('proyek', 'project', 'based')",25
"('sumber', 'daya', 'manusia')",25
"('berbasis', 'proyek', 'project')",25
"('www', 'lidwapusakacom', '2010')",24
"('pembangkit', 'listrik', 'tenaga')",24
"('rom', 'www', 'lidwapusakacom')",24
"('volume', '8', 'nomor')",24
"('cd', 'rom', 'www')",24
"('12', 'cd', 'rom')",24
"('ensiklopedi', 'hadits', 'kitab')",24
"('9', 'imam', 'cdhk91')",24
"('imam', 'cdhk91', 'ver')",24
"('cdhk91', 'ver', '12')",24
"('ver', '12', 'cd')",24
"('kitab', '9', 'imam')",23
"('proses', 'belajar', 'mengajar')",23
"('pemeliharaan', 'taman', 'lingkungan')",23
"('hadits', 'kitab', '9')",23
"('et', 'al', '2022')",22
"('lidwapusakacom', '2010', 'hadis')",22
"('sistem', 'text', 'to')",22
"('nasution', 'lily', 'lubis')",21
"('haag', 'sidh', 'belanda')",21
"('live', 'chat', 'streaming')",21
"('raja', 'nasution', 'lily')",21
"('lily', 'lubis', 'associates')",21
"('april', '2025', 'hlm')",20
"('12', 'no', '2')",20
"('2', 'april', '2025')",20
"('1', 'no', '1')",20
"('no', '2', 'april')",20
"('perspektif', 'hadis', 'nabi')",19
"('jtiik', 'vol', '12')",19
"('hadis', 'nabi', 'saw')",19
"('kantor', 'hukum', 'raja')",19
"('hukum', 'raja', 'nasution')",19
"('early', 'stopping', 'patience')",19
"('emisi', 'gas', 'buang')",18
"('kemampuan', 'literasi', 'kesehatan')",18
"('model', 'tarian', 'kreatif')",18
"('1', '1', '1')",18
"('kesadaran', 'lingkungan', 'masyarakat')",18
"('vol', '11', 'no')",17
"('negeri', '1', 'kawali')",17
"('nabi', 'saw', 'tafsere')",17
"('11', 'no', '5')",17
"('2010', 'hadis', 'no')",17
"('8', 'nomor', '1')",17
"('saw', 'tafsere', 'volume')",17
"('stilistika', 'volume', '8')",17
"('sma', 'negeri', '1')",17
"('oktober', '2024', 'hlm')",17
"('105281zenodo3903959', 'stilistika', 'volume')",17
"('issn', 'e', '26213338')",17
"('no', '5', 'oktober')",17
"('20898460', 'issn', 'e')",17
"('p', '20898460', 'issn')",17
"('issn', 'p', '20898460')",17
"('doi', '105281zenodo3903959', 'stilistika')",17
"('november', '2019', 'issn')",17
"('1', 'november', '2019')",17
"('bahan', 'bakar', 'spesifik')",17
"('nomor', '1', 'november')",17
"('2019', 'issn', 'p')",17
"('5', 'oktober', '2024')",17
"('pemanfaatan', 'sampah', 'organik')",16
"('series', 'layangan', 'putus')",16
"('international', 'conference', 'on')",15
"('metode', 'lean', 'ux')",15
"('pissn', '23014024', 'eissn')",15
"('siswa', 'sekolah', 'dasar')",15
"('23014024', 'eissn', '24427993')",15
"('helpdesk', 'tik', 'ub')",15
"('budaya', 'indonesia', 'budi')",15
"('pembelajaran', 'kooperatif', 'tipe')",15
"('et', 'al', '2021')",15
"('system', 'usability', 'scale')",14
"('2', 'tanete', 'riaja')",14
"('guru', 'sekolah', 'dasar')",14
"('universitas', 'negeri', 'surabaya')",14
"('vol', '3', 'no')",14
"('jenis', 'bahan', 'bakar')",14
"('berdasarkan', 'hasil', 'penelitian')",14
"('ebenhaezer', 'tanjung', 'enim')",14
"('bakar', 'premium', 'pertalite')",14
"('berbasis', 'budaya', 'indonesia')",14
"('international', 'journal', 'of')",14
"('ruang', 'terbuka', 'hijau')",14
"('bahan', 'bakar', 'minyak')",14
"('16', 'nomor', '2')",14
"('volume', '16', 'nomor')",14
"('belajar', 'pendidikan', 'pancasila')",14
"('metode', 'penelitian', 'penelitian')",14
"('kritis', 'peserta', 'didik')",13
"('c', 'e', 's')",13
"('stt', 'ebenhaezer', 'tanjung')",13
"('c', 'c', 'e')",13
"('a', 'c', 'c')",13
"('n', 'a', 'c')",13
"('tanete', 'riaja', 'kabupaten')",13
"('jtiik', 'vol', '11')",13
"('vol', '02', 'no')",13
"('bahan', 'bakar', 'bensin')",13
"('this', 'research', 'is')",13
"('s', 's', 'page')",13
"('pemrosesan', 'bahasa', 'alami')",13
"('e', 'n', 'a')",13
"('negeri', '2', 'tanete')",13
"('o', 'p', 'e')",13
"('model', 'pembelajaran', 'berbasis')",13
"('enim', 'httpsejournalstteacidindex', 'volume')",13
"('smp', 'negeri', '2')",13
"('the', 'results', 'of')",13
"('multiplatform', 'berbasis', 'budaya')",13
"('p', 'e', 'n')",13
"('belajar', 'peserta', 'didik')",13
"('jurnal', 'taiyou', 'vol')",13
"('normalisasi', 'bahasa', 'informal')",13
"('httpsejournalstteacidindex', 'volume', '16')",13
"('kooperatif', 'tipe', 'jigsaw')",13
"('berpikir', 'kritis', 'peserta')",13
"('no', '01', 'issn')",13
"('root', 'cause', 'analysis')",13
"('tanjung', 'enim', 'httpsejournalstteacidindex')",13
"('taiyou', 'vol', '02')",13
"('e', 's', 's')",13
"('02', 'no', '01')",13
"('01', 'issn', '27463702')",13
"('of', 'this', 'study')",12
"('seminar', 'nasional', 'pembelajaran')",12
"('nasional', 'pembelajaran', 'bahasa')",12
"('sastra', 'selasar', '7')",12
"('selasar', '7', 'issn')",12
"('7', 'issn', '2541349x')",12
"('issn', '2541349x', 'proceedings')",12
"('potensi', 'energy', 'terbarukan')",12
"('human', 'speech', 'corpus')",12
"('meningkatkan', 'hasil', 'belajar')",12
"('analisis', 'sentimen', 'berbasis')",12
"('film', 'series', 'layangan')",12
"('sentimen', 'berbasis', 'aspek')",12
"('mendukung', 'ketahanan', 'energi')",12
"('model', 'energi', 'indonesia')",12
"('pgsd', 'universitas', 'negeri')",12
"('energi', 'indonesia', 'tinjauan')",12
"('indonesia', 'tinjauan', 'potensi')",12
"('undangundang', 'no', '11')",12
"('tinjauan', 'potensi', 'energy')",12
"('indonesia', 'literatur', 'review')",12
"('bobot', 'loss', 'ner')",12
"('undangundang', 'no', '32')",12
"('riaja', 'kabupaten', 'barru')",12
"('hasil', 'belajar', 'pendidikan')",12
"('ridlo', 'al', 'hakim')",12
"('penerapan', 'psikologi', 'komunikasi')",12
"('358368', 'mei', 'agustus')",11
"('fakultas', 'teknik', 'universitas')",11
"('user', 'centered', 'design')",11
"('issn', 'vol', '1')",11
"('masyarakat', 'issn', 'vol')",11
"('volume', '24', 'nomor')",11
"('2', '2', 'ts')",11
"('andasih', 'jurnal', 'pengabdian')",11
"('3', '2', '2')",11
"('teknologi', 'in', 'formasi')",11
"('24', 'nomor', '2')",11
"('penerimaan', 'peserta', 'didik')",11
"('sumber', 'daya', 'alam')",11
"('jurnal', 'penelitian', 'pendidikan')",11
"('jurnal', 'ilmiah', 'ecosystem')",11
"('kesadaran', 'kesehatan', 'mental')",11
"('mei', 'agustus', '2024')",11
"('vol', '1', 'no')",11
"('ilmiah', 'ecosystem', 'volume')",11
"('literatur', 'review', 'rosyid')",11
"('progressive', 'web', 'app')",11
"('12', 'no', '1')",11
"('rosyid', 'ridlo', 'al')",11
"('no', '1', 'april')",11
"('1', 'april', '2020')",11
"('kondisi', 'taman', 'lingkungan')",11
"('ecosystem', 'volume', '24')",11
"('review', 'rosyid', 'ridlo')",11
"('teknik', 'energi', 'vol17')",10
"('energi', 'vol17', 'no3')",10
"('vol17', 'no3', 'september')",10
"('no3', 'september', '2021')",10
"('bahan', 'bakar', 'pertamax')",10
"('teknologi', 'informasi', 'perpustakaan')",10
"('jurusan', 'teknik', 'sipil')",10
"('desain', 'user', 'interface')",10
"('et', 'al', '2017')",10
"('cet', 'i', 'jakarta')",10
"('sma', 'negeri', '22')",10
"('nilai', 'validation', 'loss')",10
"('negeri', '22', 'makassar')",10
"('dewan', 'energi', 'nasional')",10
"('creative', 'commons', 'attribution')",10
"('is', 'licensed', 'under')",10
"('work', 'is', 'licensed')",10
"('no', '1', 'februari')",10
"('et', 'al', '2015')",10
"('this', 'work', 'is')",10
"('berdasarkan', 'hasil', 'pengujian')",10
"('eksergi', 'jurnal', 'teknik')",10
"('jurnal', 'teknik', 'energi')",10
"('sistem', 'pencernaan', 'manusia')",9
"('jenderal', 'dewan', 'energi')",9
"('the', 'purpose', 'of')",9
"('penulis', 'korespondensi', 'naskah')",9
"('bahan', 'bakar', 'jenis')",9
"('purpose', 'of', 'this')",9
"('zalfa', 'nuraeni', 'rudianto')",9
"('pissn', '23557699', 'akreditasi')",9
"('penggabungan', 'jenjang', 'kelas')",9
"('komputer', 'jtiik', 'doi')",9
"('tim', 'sekretaris', 'jenderal')",9
"('1', '3', '3')",9
"('kegiatan', 'belajar', 'mengajar')",9
"('mata', 'pelajaran', 'ekonomi')",9
"('1', '2', 'ts')",9
"('energi', 'nasional', '2019')",9
"('sekretaris', 'jenderal', 'dewan')",9
"('rt', '012rw', '04')",9
"('sts', '1', '3')",9
"('3', '3', '2')",9
"('korespondensi', 'naskah', 'masuk')",9
"('pengetahuan', 'generasi', 'z')",9
"('jurnal', 'online', 'tersedia')",9
"('40', 'international', 'license')",9
"('httpsjurnalpolinesacidindexphpeksergi', 'copyright', 'eksergi')",9
"('copyright', 'eksergi', 'jurnal')",9
"('akreditasi', 'kemenristekdikti', 'no')",9
"('setuju', '3', 'responden')",9
"('23557699', 'akreditasi', 'kemenristekdikti')",9
"('ana', 'damayanti', 'dkk')",8
"('a', 'creative', 'commons')",8
"('hukum', 'lingkungan', 'indonesia')",8
"('april', '2022', '49')",8
"('proceedings', 'of', 'the')",8
"('commons', 'attribution', '40')",8
"('36ekpt2019', 'eissn', '25286579')",8
"('no1', 'april', '2022')",8
"('the', 'book', 'of')",8
"('book', 'of', 'revelation')",8
"('damayanti', 'dkk', 'jurnal')",8
"('dkk', 'jurnal', 'online')",8
"('mental', 'generasi', 'z')",8
"('attribution', '40', 'international')",8
"('27217795', 'jurnal', 'penelitian')",8
"('one', 'of', 'the')",8
"('loss', 'klasifikasi', 'intensi')",8
"('negara', 'republik', 'indonesia')",8
"('3', 'no', '3')",8
"('11', 'no1', 'april')",8
"('neolaka', 'rosmawita', 'saleh')",8
"('under', 'a', 'creative')",8
"('volume', '11', 'no1')",8
"('licensed', 'under', 'a')",8
"('rt', '03rw', '07')",8
"('no', '3', '2022')",8
"('named', 'entity', 'recognition')",8
"('rr', 'pramesthi', 'ratnaningtyas')",8
"('fakultas', 'ilmu', 'komputer')",8
"('no', '36ekpt2019', 'eissn')",8
"('lab', 'modul', 'praktikum')",8
"('3', '2022', 'httpdxdoiorg10305962fjpppv3i313222')",8
"('25974424', 'this', 'work')",8
"('nuraeni', 'rudianto', 'dkk')",8
"('rudianto', 'dkk', 'pengetahuan')",8
"('dkk', 'pengetahuan', 'generasi')",8
"('kombinasi', 'hyperparameter', 'terbaik')",8
"('kacamata', 'media', 'online')",8
"('eissn', '27217795', 'jurnal')",8
"('jurnal', 'pendidikan', 'kesehatan')",8
"('3', '2', 'ts')",8
"('sumber', 'data', 'primer')",8
"('3', 'no', '1')",8
"('pengajaran', 'vol', '3')",8
"('based', 'on', 'the')",8
"('pengaruh', 'model', 'pembelajaran')",8
"('krs', 'lab', 'modul')",8
"('afandi', 'amos', 'neolaka')",8
"('tangki', 'bahan', 'bakar')",8
"('amos', 'neolaka', 'rosmawita')",8
"('pendidikan', 'kesehatan', 'volume')",8
"('2021', 'eissn', '25974440')",8
"('panunggul', 'et', 'al')",8
"('kesehatan', 'volume', '11')",8
"('72', 'pissn', '23014024')",8
"('pelajar', 'pgsd', 'universitas')",8
"('sampah', 'organik', 'dalamamira')",8
"('organik', 'dalamamira', 'ana')",8
"('kemenristekdikti', 'no', '36ekpt2019')",8
"('dalamamira', 'ana', 'damayanti')",8
"('pissn', '25974424', 'this')",8
"('achmad', 'afandi', 'amos')",8
"('2', 'metode', 'penelitian')",8
"('bahan', 'bakar', 'pertalite')",8
"('2022', '49', '72')",8
"('teknik', 'augmentasi', 'data')",8
"('predetermined', 'rate', 'factor')",7
"('2', '3', '4')",7
"('1', '2', '3')",7
"('pembakaran', 'bahan', 'bakar')",7
"('vii', 'no1', 'januari')",7
"('bakar', 'jenis', 'premium')",7
"('penutupan', 'tpst', 'piyungan')",7
"('16', '29', 'httpdxdoiorg1024912jkv12i15287')",7
"('1', 'juli', '2020')",7
"('no', '1', 'juli')",7
"('2727', 'vol', '12')",7
"('2528', '2727', 'vol')",7
"('2', '2', '1')",7
"('eissn', '2528', '2727')",7
"('49', '72', 'pissn')",7
"('20851979', 'eissn', '2528')",7
"('issn', '20851979', 'eissn')",7
"('no1', 'januari', '2012')",7
"('kesehatan', 'mental', 'generasi')",7
"('komunikasi', 'issn', '20851979')",7
"('jurnal', 'komunikasi', 'issn')",7
"('pramesthi', 'ratnaningtyas', 'sampah')",7
"('to', 'determine', 'the')",7
"('usability', 'scale', 'sus')",7
"('algoritma', 'nave', 'bayes')",7
"('jenis', 'premium', 'pertalite')",7
"('1', 'januari', '2023')",7
"('no', '1', 'januari')",7
"('jkip', 'jurnal', 'keguruan')",7
"('nilai', 'early', 'stopping')",7
"('sinar', 'grafika', 'jakarta')",7
"('8', 'nomor', '4')",7
"('jakarta', 'pusat', 'studi')",7
"('rt03', 'rw07', 'kelurahan')",7
"('rw07', 'kelurahan', 'galur')",7
"('jurnal', 'menara', 'jurusan')",7
"('kelurahan', 'galur', 'achmad')",7
"('aplikasi', 'jconnect', 'mobile')",7
"('critical', 'thinking', 'skills')",7
"('volume', '1', 'no')",7
"('jumek', 'volume', '1')",7
"('galur', 'achmad', 'afandi')",7
"('saleh', 'issn', '19074360')",7
"('torsi', 'konsumsi', 'bahan')",7
"('peningkatan', 'hasil', 'belajar')",7
"('29641241', 'pissn', '29641632')",7
"('siswa', 'kelas', 'ix3')",7
"('eissn', '29641241', 'pissn')",7
"('motor', 'bensin', '4')",7
"('2023', 'eissn', '29641241')",7
"('januari', '2023', 'eissn')",7
"('bensin', '4', 'langkah')",7
"('kandungan', 'emisi', 'gas')",7
"('metode', 'penelitian', 'metode')",7
"('alimm', 'ab', 'abdillah')",7
"('random', 'word', 'insertion')",7
"('kemampuan', 'berpikir', 'kritis')",7
"('ilmu', 'kependidikan', 'vol')",7
"('no1', 'januari', '2023')",7
"('vol1', 'no1', 'januari')",7
"('kependidikan', 'vol', '5')",7
"('laksmono', 'widodo', '2017')",7
"('kreatif', 'vol1', 'no1')",7
"('tabel', '4', 'hasil')",7
"('2', '1', '2')",7
"('ekonomi', 'kreatif', 'vol1')",7
"('et', 'al', '2016')",7
"('69', '4', 'ss')",7
"('teknik', 'analisis', 'data')",7
"('dual', 'band', 'clik')",7
"('kemampuan', 'pedagogi', 'mahasiswa')",7
"('rosmawita', 'saleh', 'issn')",7
"('jumek', 'jurnal', 'manajemen')",7
"('nomor', '4', 'desember')",7
"('4', 'desember', '2022')",7
"('menara', 'jurusan', 'teknik')",7
"('desember', '2022', 'pp')",7
"('saran', 'berdasarkan', 'hasil')",7
"('teknik', 'sipil', 'ftunj')",7
"('pengembangan', 'aplikasi', 'multiplatform')",7
"('2022', 'pp', '550556')",7
"('sipil', 'ftunj', 'volume')",7
"('pp', '550556', 'pissn')",7
"('550556', 'pissn', '24610666')",7
"('pissn', '24610666', 'eissn')",7
"('24610666', 'eissn', '24610720')",7
"('et', 'al', '2019')",7
"('berdasarkan', 'atribut', 'rfm')",7
"('visualisasi', 'segmentasi', 'pelanggan')",7
"('ftunj', 'volume', 'vii')",7
"('analisis', 'konsumsi', 'bahan')",7
"('volume', 'vii', 'no1')",7
"('jseh', 'jurnal', 'sosial')",7
"('jurnal', 'sosial', 'ekonomi')",7
"('humaniora', 'volume', '8')",7
"('no', '1', 'maret')",6
"('pendidikan', 'vol', '4')",6
"('kalangan', 'generasi', 'z')",6
"('aplikasi', 'fokus', 'timer')",6
"('mahasiswa', 'calon', 'guru')",6
"('1', 'maret', '2019')",6
"('ilmu', 'pendidikan', 'vol')",6
"('sma', 'negeri', 'kota')",6
"('2025', 'hlm', '263274')",6
"('teknik', 'pengumpulan', 'data')",6
"('program', 'studi', 'pendidikan')",6
"('student', 'learning', 'outcomes')",6
"('kemunculan', 'adegan', 'perselingkuhan')",6
"('f1score', 'klasifikasi', 'intensi')",6
"('alsymilah', 'cd', 'room')",6
"('bobot', 'loss', 'klasifikasi')",6
"('kelas', 'ix3', 'smp')",6
"('campuran', 'bahan', 'bakar')",6
"('program', 'studi', 'teknik')",6
"('jurusan', 'teknik', 'mesin')",6
"('brawijaya', 'malang', 'email')",6
"('penelitian', 'tindakan', 'kelas')",6
"('pokok', 'pikiran', 'pembukaan')",6
"('identitas', 'nasional', 'indonesia')",6
"('intent', 'and', 'entity')",6
"('pikiran', 'pembukaan', 'uud')",6
"('dual', 'intent', 'and')",6
"('ix3', 'smp', 'negeri')",6
"('fitur', 'saran', 'perbaikan')",6
"('pembukaan', 'uud', 'negara')",6
"('so', 'that', 'it')",6
"('uud', 'negara', 'republik')",6
"('setuju', '5', 'responden')",6
"('penulis', 'sastra', 'apokaliptik')",6
"('sekolah', 'menengah', 'kejuruan')",6
"('0', '0', '0')",6
"('food', 'loss', 'and')",6
"('gothelf', 'and', 'seiden')",6
"('loss', 'and', 'waste')",6
"('departemen', 'agama', 'ri')",6
"('psikologi', 'jurnal', 'psikologi')",6
"('fakultas', 'hukum', 'universitas')",6
"('wibowo', 'dkk', '2020')",6
"('negeri', 'kota', 'cirebon')",6
"('aplikasi', 'sinopsis', 'film')",6
"('long', 'shortterm', 'memory')",6
"('senior', 'high', 'school')",6
"('setuju', '2', 'responden')",6
"('centered', 'design', 'ucd')",6
"('sepeda', 'motor', '125cc')",6
"('departemen', 'pendidikan', 'nasional')",6
"('legal', 'consultation', 'activity')",6
"('layar', 'fitur', 'saran')",6
"('this', 'study', 'was')",6
"('metode', 'manipulasi', 'prosodi')",6
"('perbedaan', 'hasil', 'belajar')",6
"('jakarta', 'rineka', 'cipta')",6
"('1', '1', '2')",6
"('penegakan', 'hukum', 'lingkungan')",6
"('cdi', 'dual', 'band')",6
"('and', 'seiden', '2013')",6
"('membedakan', 'bangsa', 'indonesia')",6
"('aktivitas', 'belajar', 'peserta')",6
"('subandi', 'jurnal', 'psikologi')",6
"('konsep', 'psikologi', 'jurnal')",6
"('20', 'total', '176')",6
"('5661', 'eissn', '27226069')",6
"('pp', '5661', 'eissn')",6
"('2023', 'pp', '5661')",6
"('indikator', 'gaya', 'hidup')",6
"('februari', '2023', 'pp')",6
"('the', 'use', 'of')",6
"('is', 'expected', 'to')",6
"('halaman', 'analisis', 'pelanggan')",6
"('1', 'februari', '2023')",6
"('media', 'aplikasi', 'multiplatform')",6
"('jurnal', 'imam', 'bonjol')",6
"('imam', 'bonjol', 'kajian')",6
"('in', 'this', 'study')",6
"('bonjol', 'kajian', 'ilmu')",6
"('user', 'acceptance', 'testing')",6
"('4', 'no', '1')",6
"('kajian', 'ilmu', 'informasi')",6
"('segmentasi', 'pelanggan', 'berdasarkan')",6
"('perpustakaan', 'vol', '3')",6
"('root', 'cause', 'tree')",6
"('vol', '4', 'no')",6
"('yulinar', 'teknologi', 'informasi')",6
"('menjaga', 'kesehatan', 'mental')",6
"('of', 'this', 'research')",6
"('kementerian', 'esdm', '2018')",6
"('pertumbuhan', 'ekonomi', 'indonesia')",6
"('and', 'entity', 'transformer')",6
"('pelaksanaan', 'proses', 'belajar')",5
"('diskusi', 'kelompok', 'ahli')",5
"('4', 'kali', 'pertemuan')",5
"('5', '5', '3')",5
"('variabel', 'adegan', 'perselingkuhan')",5
"('pelajaran', 'pendidikan', 'pancasila')",5
"('krs', 'krs', 'lab')",5
"('hc', 'co', 'co2')",5
"('unjuk', 'kerja', 'motor')",5
"('samping', 'kesehatan', 'fisik')",5
"('study', 'aims', 'to')",5
"('integral', 'luqman', 'alhakim')",5
"('listrik', 'tenaga', 'angin')",5
"('kfold', 'cross', 'validation')",5
"('sd', 'integral', 'luqman')",5
"('pt', 'remaja', 'rosdakarya')",5
"('lagu', 'kebangsaan', 'indonesia')",5
"('penguatan', 'nilai', 'karakter')",5
"('pengembangan', 'aplikasi', 'fokus')",5
"('indonesian', 'journal', 'of')",5
"('respon', 'guru', 'sekolah')",5
"('lean', 'user', 'experience')",5
"('9', '3', 's')",5
"('peningkatan', 'keterampilan', 'berpikir')",5
"('penggunaan', 'bahan', 'bakar')",5
"('xf', '1', 'ts')",5
"('the', 'concept', 'of')",5
"('data', 'primer', 'diolah')",5
"('primer', 'diolah', '2020')",5
"('motor', '4', 'langkah')",5
"('premium', 'pertalite', 'pertamax')",5
"('mahasiswa', 'pti', 'ub')",5
"('15', 'weight', 'decay')",5
"('pendidikan', 'teknologi', 'informasi')",5
"('results', 'of', 'this')",5
"('et', 'al', '2013')",5
"('data', 'time', 'series')",5
"('2', 's', '3')",5
"('diagram', 'alir', 'penelitian')",5
"('user', 'experience', 'ux')",5
"('chat', 'streaming', 'youtube')",5
"('aplikasi', 'berbasis', 'web')",5
"('berdasarkan', 'hasil', 'analisis')",5
"('desain', 'wireframe', 'uiux')",5
"('that', 'can', 'be')",5
"('hasil', 'belajar', 'peserta')",5
"('situs', 'video', 'youtube')",5
"('universitas', 'islam', 'negeri')",5
"('pengolahan', 'sampah', 'organik')",5
"('used', 'in', 'this')",5
"('pengembangan', 'media', 'pembelajaran')",5
"('aspek', 'uji', 'intelligibility')",5
"('pengujian', 'tes', 'persepsi')",5
"('model', 'hyperparameter', 'tuning')",5
"('white', 'box', 'testing')",5
"('random', 'word', 'replacement')",5
"('cd', 'room', 'bab')",5
"('almaktabah', 'alsymilah', 'cd')",5
"('research', 'is', 'a')",5
"('uji', 'coba', 'perorangan')",5
"('penelitian', 'pengembangan', 'aplikasi')",5
"('2010', 'hadis', 'no12038')",5
"('bin', 's', 'bin')",5
"('gambar', '2', 'diagram')",5
"('the', 'implementation', 'of')",5
"('hasil', 'uji', 'variabel')",5
"('irpan', 'suheri', 'matondang')",5
"('1', 'ts', '2')",5
"('mencerdaskan', 'kehidupan', 'bangsa')",5
"('indah', 'marthasari', 'dkk')",5
"('marthasari', 'dkk', 'implementasi')",5
"('2025', 'hlm', '481490')",5
"('dkk', 'implementasi', 'metode')",5
"('nilai', 'batch', 'size')",5
"('implementasi', 'metode', 'leanux')",5
"('pencegahan', 'kerusakan', 'lingkungan')",5
"('aplikasi', 'berbasis', 'progressive')",5
"('gas', 'rumah', 'kaca')",5
"('ketahanan', 'energi', 'nasional')",5
"('metode', 'pembelajaran', 'konvensional')",5
"('kelas', 'xi', 'ips')",5
"('ai', 'art', 'generator')",5
"('3', 'ss', '4')",5
"('journal', 'of', 'research')",5
"('maret', '2019', 'jam')",5
"('tabel', '3', 'hasil')",5
"('22', 'total', '176')",5
"('24', 'november', '2021')",5
"('make', 'moral', 'judgement')",5
"('adegan', 'perselingkuhan', 'episode')",5
"('teaching', 'and', 'learning')",5
"('pengaruh', 'metode', 'pembelajaran')",5
"('study', 'was', 'to')",5
"('uji', 'variabel', 'adegan')",5
"('sts', '1', '2')",5
"('film', 'layangan', 'putus')",5
"('metode', 'deskriptif', 'kualitatif')",5
"('1', '2', '2')",5
"('indonesia', 'sinar', 'grafika')",5
"('recency', 'frequency', 'monetary')",5
"('sihombing', 'susila', '2016')",5
"('taman', 'lingkungan', '2')",5
"('kategori', 'indikator', 'n1')",5
"('lingkungan', 'indonesia', 'sinar')",5
"('pelanggan', 'berdasarkan', 'atribut')",5
"('sts', '1', '1')",5
"('online', 'available', 'at')",5
"('indikator', 'n1', 'n2')",5
"('2025', 'hlm', '283292')",5
"('pembentuk', 'identitas', 'nasional')",5
"('in', 'this', 'research')",5
"('as', 'well', 'as')",5
"('penulis', 'kitab', 'wahyu')",5
"('n1', 'n2', 'm')",5
"('setuju', '1', 'responden')",5
"('sts', '1', '5')",5
"('arsitektur', 'normalisasi', 'bahasa')",5
"('1', '5', '5')",5
"('cause', 'analysis', 'rca')",5
"('pokok', 'isi', 'alinea')",4
"('medan', 'area', 'daftar')",4
"('april', '2025', 'abstrak')",4
"('so', 'that', 'the')",4
"('persentase', 'kehadiran', 'siswa')",4
"('metode', 'penelitian', 'kuantitatif')",4
"('masuk', 'kelas', 'mengganggu')",4
"('jakarta', 'bpk', 'gunung')",4
"('republik', 'indonesia', 'nomor')",4
"('berbahan', 'bakar', 'premium')",4
"('penggunaan', 'sumber', 'daya')",4
"('daftar', 'saran', 'perbaikan')",4
"('user', 'interface', 'design')",4
"('ss', '4', '35')",4
"('ilmu', 'komunikasi', 'fakultas')",4
"('4', '35', '140')",4
"('medan', 'area', 'bab')",4
"('learning', 'in', 'elementary')",4
"('lapangan', 'panas', 'bumi')",4
"('potensi', 'peserta', 'didik')",4
"('putra', 'semarang', '1998')",4
"('toha', 'putra', 'semarang')",4
"('karya', 'toha', 'putra')",4
"('pt', 'karya', 'toha')",4
"('mendengarkan', 'permasalahan', 'klien')",4
"('jakarta', 'pt', 'karya')",4
"('terjemahnya', 'jakarta', 'pt')",4
"('with', 'the', 'dominant')",4
"('kelas', 'mengganggu', 'teman')",4
"('isu', 'kesehatan', 'mental')",4
"('memahami', 'permasalahan', 'klien')",4
"('72', '4', 'ss')",4
"('kelestarian', 'lingkungan', 'hidup')",4
"('november', '2023', 'diterima')",4
"('35', '140', '20')",4
"('mesin', 'sepeda', 'motor')",4
"('kerusakan', 'lingkungan', 'hidup')",4
"('133', '399', '76')",4
"('protection', 'and', 'management')",4
