bigram,frekuensi
"('of', 'this')",19
"('data', 'hasil')",19
"('the', 'results')",19
"('pelestarian', 'lingkungan')",19
"('kelompok', 'ahli')",19
"('jurnal', 'pendidikan')",19
"('pengambilan', 'data')",19
"('cipta', 'kerja')",18
"('pengembangan', 'aplikasi')",18
"('saran', 'perbaikan')",18
"('kemampuan', 'pedagogi')",18
"('karya', 'sastra')",18
"('psikologi', 'komunikasi')",18
"('jurnal', 'pengabdian')",18
"('sumber', 'energi')",18
"('batch', 'size')",18
"('4', 'langkah')",18
"('normalisasi', 'bahasa')",18
"('ekspor', 'indonesia')",18
"('negeri', '1')",18
"('5', 'oktober')",18
"('meningkatkan', 'hasil')",18
"('maret', '2019')",18
"('tik', 'ub')",18
"('alimm', 'ab')",18
"('2019', 'issn')",17
"('stilistika', 'volume')",17
"('e', '26213338')",17
"('international', 'conference')",17
"('issn', 'e')",17
"('p', '20898460')",17
"('calon', 'guru')",17
"('20898460', 'issn')",17
"('11', 'no')",17
"('pemanfaatan', 'sampah')",17
"('1', 'november')",17
"('november', '2019')",17
"('aplikasi', 'android')",17
"('series', 'layangan')",17
"('doi', '105281zenodo3903959')",17
"('available', 'at')",17
"('hadis', 'no')",17
"('105281zenodo3903959', 'stilistika')",17
"('siswa', 'sekolah')",17
"('proses', 'komunikasi')",17
"('bakar', 'spesifik')",17
"('vol', '11')",17
"('saw', 'tafsere')",17
"('with', 'the')",17
"('2024', 'hlm')",17
"('bakar', 'bensin')",17
"('issn', 'p')",17
"('memiliki', 'nilai')",16
"('kooperatif', 'tipe')",16
"('3', '3')",16
"('film', 'series')",16
"('negeri', 'surabaya')",16
"('penelitian', 'pendidikan')",16
"('can', 'be')",16
"('jenjang', 'kelas')",16
"('penelitian', 'penelitian')",16
"('jurusan', 'teknik')",16
"('fakultas', 'teknik')",16
"('tabel', '5')",16
"('hasil', 'analisis')",16
"('bahasa', 'alami')",16
"('atribut', 'rfm')",16
"('bakar', 'minyak')",16
"('uji', 'coba')",16
"('tabel', '4')",16
"('kegiatan', 'pembelajaran')",16
"('dropout', 'rate')",16
"('kehidupan', 'seharihari')",16
"('ruang', 'bakar')",16
"('metode', 'lean')",16
"('usability', 'scale')",15
"('seminar', 'nasional')",15
"('no', '32')",15
"('pembelajaran', 'daring')",15
"('indonesia', 'budi')",15
"('guru', 'sekolah')",15
"('sekolah', 'menengah')",15
"('kombinasi', 'hyperparameter')",15
"('tabel', '6')",15
"('seni', 'tari')",15
"('23014024', 'eissn')",15
"('weight', 'decay')",15
"('2', 'tanete')",15
"('angka', 'oktan')",15
"('teknik', 'analisis')",15
"('kerusakan', 'lingkungan')",15
"('berdasarkan', 'data')",15
"('jurnal', 'psikologi')",15
"('in', 'formasi')",15
"('pendidikan', 'nasional')",15
"('cet', 'i')",15
"('desember', '2022')",15
"('research', 'is')",15
"('al', '2021')",15
"('validation', 'loss')",15
"('eissn', '24427993')",15
"('in', 'this')",15
"('orang', 'tua')",15
"('pissn', '23014024')",15
"('sistem', 'focure')",14
"('as', 'a')",14
"('vol', '1')",14
"('menyelesaikan', 'tugas')",14
"('berbahasa', 'indonesia')",14
"('pengirim', 'pesan')",14
"('so', 'that')",14
"('analisis', 'kebutuhan')",14
"('kelas', 'xi')",14
"('no1', 'januari')",14
"('no', '01')",14
"('nilai', 'f1score')",14
"('berbasis', 'budaya')",14
"('negeri', '2')",14
"('elementary', 'school')",14
"('3', 'hasil')",14
"('jenis', 'bahan')",14
"('results', 'of')",14
"('variabel', 'bebas')",14
"('using', 'the')",14
"('proses', 'pencernaan')",14
"('performa', 'model')",14
"('energi', 'surya')",14
"('sinopsis', 'film')",14
"('kehidupan', 'manusia')",14
"('learning', 'outcomes')",14
"('pencernaan', 'manusia')",14
"('rt', '0307')",14
"('smp', 'negeri')",14
"('tanjung', 'enim')",14
"('system', 'usability')",14
"('volume', '16')",14
"('vol', '3')",14
"('belajar', 'pendidikan')",14
"('the', 'research')",14
"('ebenhaezer', 'tanjung')",14
"('permasalahan', 'klien')",14
"('16', 'nomor')",14
"('science', 'and')",14
"('penegakan', 'hukum')",14
"('variabel', 'terikat')",14
"('materi', 'pembelajaran')",14
"('international', 'journal')",14
"('energi', 'indonesia')",14
"('perangkat', 'keras')",14
"('terbuka', 'hijau')",14
"('tanete', 'riaja')",14
"('s', 's')",14
"('studi', 'literatur')",14
"('e', 's')",14
"('ilmu', 'pendidikan')",14
"('online', 'tersedia')",14
"('januari', '2023')",14
"('tenaga', 'pendidik')",14
"('mendukung', 'ketahanan')",14
"('22', 'makassar')",13
"('data', 'teks')",13
"('peraturan', 'menteri')",13
"('kritis', 'peserta')",13
"('c', 'c')",13
"('e', 'n')",13
"('a', 'c')",13
"('o', 'p')",13
"('p', 'e')",13
"('taiyou', 'vol')",13
"('enim', 'httpsejournalstteacidindex')",13
"('stt', 'ebenhaezer')",13
"('httpsejournalstteacidindex', 'volume')",13
"('aktivitas', 'belajar')",13
"('01', 'issn')",13
"('ekonomi', 'kreatif')",13
"('issn', '27463702')",13
"('pendekatan', 'psikolinguistik')",13
"('mudah', 'dipahami')",13
"('pemrosesan', 'bahasa')",13
"('progressive', 'web')",13
"('tabel', '7')",13
"('pgsd', 'universitas')",13
"('bahan', 'pangan')",13
"('2', '1')",13
"('cause', 'analysis')",13
"('hyperparameter', 'tuning')",13
"('loss', 'ner')",13
"('intent', 'classification')",13
"('riaja', 'kabupaten')",13
"('penelitian', 'kualitatif')",13
"('0', '0')",13
"('c', 'e')",13
"('jurnal', 'taiyou')",13
"('vol', '02')",13
"('02', 'no')",13
"('s', 'page')",13
"('1', 'pendahuluan')",13
"('augmentasi', 'data')",13
"('kemampuan', 'berpikir')",13
"('teknik', 'augmentasi')",13
"('belajar', 'peserta')",13
"('of', 'a')",13
"('random', 'word')",12
"('artificial', 'intelligence')",12
"('issn', '2541349x')",12
"('2541349x', 'proceedings')",12
"('desain', 'wireframe')",12
"('pengajaran', 'bahasa')",12
"('7', 'issn')",12
"('aspek', 'layanan')",12
"('aplikasi', 'milab')",12
"('to', 'be')",12
"('berbasis', 'aspek')",12
"('agustus', '2024')",12
"('jawa', 'barat')",12
"('penerapan', 'psikologi')",12
"('pemanfaatan', 'energi')",12
"('nasional', 'pembelajaran')",12
"('negara', 'indonesia')",12
"('and', 'the')",12
"('warmup', 'step')",12
"('model', 'energi')",12
"('simbol', 'jati')",12
"('kebutuhan', 'pengguna')",12
"('tinjauan', 'potensi')",12
"('ridlo', 'al')",12
"('kabupaten', 'barru')",12
"('sentimen', 'berbasis')",12
"('diagram', 'alir')",12
"('fakultas', 'ilmu')",12
"('bakar', 'pertamax')",12
"('ruang', 'kelas')",12
"('literatur', 'review')",12
"('indonesia', 'literatur')",12
"('human', 'speech')",12
"('speech', 'corpus')",12
"('to', 'the')",12
"('indonesia', 'tinjauan')",12
"('metodologi', 'penelitian')",12
"('transmisi', 'otomatis')",12
"('sumber', 'data')",12
"('al', 'hakim')",12
"('ilmu', 'komunikasi')",12
"('energy', 'terbarukan')",12
"('potensi', 'energy')",12
"('sastra', 'selasar')",12
"('pembelajaran', 'jarak')",12
"('nilai', 'validation')",12
"('centered', 'design')",12
"('penelitian', 'pengembangan')",12
"('selasar', '7')",12
"('data', 'point')",12
"('halaman', 'analisis')",12
"('bahasa', 'asing')",12
"('xi', 'ips')",12
"('1', '3')",12
"('for', 'the')",11
"('penerimaan', 'peserta')",11
"('user', 'centered')",11
"('tatap', 'muka')",11
"('at', 'the')",11
"('university', 'press')",11
"('daya', 'alam')",11
"('kajian', 'literatur')",11
"('ecosystem', 'volume')",11
"('volume', '24')",11
"('24', 'nomor')",11
"('358368', 'mei')",11
"('abstract', 'the')",11
"('interaksi', 'pembelajaran')",11
"('ilmiah', 'ecosystem')",11
"('kesadaran', 'kesehatan')",11
"('masyarakat', 'issn')",11
"('issn', 'vol')",11
"('andasih', 'jurnal')",11
"('information', 'technology')",11
"('hasil', 'validasi')",11
"('kondisi', 'taman')",11
"('rosyid', 'ridlo')",11
"('review', 'rosyid')",11
"('belajar', 'bahasa')",11
"('al', 'quran')",11
"('pembuatan', 'biogas')",11
"('memiliki', 'kemampuan')",11
"('aplikasi', 'berbasis')",11
"('karakteristik', 'pelanggan')",11
"('pengguna', 'aplikasi')",11
"('pengelolaan', 'sampah')",11
"('mei', 'agustus')",11
"('web', 'app')",11
"('subjek', 'penelitian')",11
"('energi', 'nuklir')",11
"('gambar', '6')",11
"('teknik', 'universitas')",11
"('hyperparameter', 'terbaik')",11
"('jurnal', 'penelitian')",11
"('proses', 'pembuatan')",11
"('teknologi', 'in')",11
"('april', '2020')",11
"('1', 'april')",11
"('informasi', 'perpustakaan')",11
"('pebelajaran', 'tari')",11
"('bahasa', 'pemrograman')",11
"('with', 'a')",11
"('arus', 'laut')",10
"('sekretaris', 'jenderal')",10
"('4', 'hasil')",10
"('tes', 'persepsi')",10
"('media', 'online')",10
"('aspek', 'tampilan')",10
"('pembuangan', 'sampah')",10
"('from', 'the')",10
"('3', '4')",10
"('1', 'februari')",10
"('gangguan', 'mental')",10
"('analisis', 'segmentasi')",10
"('materi', 'pelajaran')",10
"('jenis', 'optimizer')",10
"('projectbased', 'learning')",10
"('pelajaran', 'ekonomi')",10
"('desain', 'user')",10
"('negeri', '22')",10
"('al', '2015')",10
"('praktisi', 'pendidikan')",10
"('mental', 'health')",10
"('papan', 'tulis')",10
"('kelangsungan', 'hidup')",10
"('muammad', 'bin')",10
"('manipulasi', 'prosodi')",10
"('kegiatan', 'belajar')",10
"('suku', 'bangsa')",10
"('tenaga', 'listrik')",10
"('pertamax', 'plus')",10
"('al', '2017')",10
"('proceedings', 'of')",10
"('ruang', 'lingkup')",10
"('international', 'license')",10
"('is', 'licensed')",10
"('work', 'is')",10
"('of', 'research')",10
"('potensi', 'energi')",10
"('a', 'creative')",10
"('this', 'work')",10
"('pangan', 'lokal')",10
"('pti', 'ub')",10
"('september', '2021')",10
"('teknik', 'sipil')",10
"('diskusi', 'kelompok')",10
"('kitab', 'suci')",10
"('dewan', 'energi')",10
"('kebijakan', 'pemerintah')",10
"('setuju', '3')",10
"('commons', 'attribution')",10
"('creative', 'commons')",10
"('universitas', 'muhammadiyah')",10
"('licensed', 'under')",10
"('i', 'jakarta')",10
"('nasional', 'indonesia')",10
"('that', 'the')",10
"('metode', 'penafsiran')",10
"('the', 'data')",10
"('kota', 'cirebon')",10
"('teknik', 'energi')",10
"('eksergi', 'jurnal')",10
"('energi', 'vol17')",10
"('vol17', 'no3')",10
"('no3', 'september')",10
"('kebutuhan', 'fungsional')",10
"('purpose', 'of')",9
"('calon', 'pengguna')",9
"('pengaruh', 'metode')",9
"('one', 'of')",9
"('metode', 'deskriptif')",9
"('deskriptif', 'kualitatif')",9
"('amos', 'neolaka')",9
"('penggabungan', 'jenjang')",9
"('pengetahuan', 'generasi')",9
"('wireframe', 'desain')",9
"('nuraeni', 'rudianto')",9
"('kecerdasan', 'buatan')",9
"('achmad', 'afandi')",9
"('zalfa', 'nuraeni')",9
"('mekanisme', 'gim')",9
"('university', 'of')",9
"('bakar', 'jenis')",9
"('permintaan', 'mentoring')",9
"('high', 'school')",9
"('makhluk', 'hidup')",9
"('amad', 'bin')",9
"('penulis', 'kitab')",9
"('2', '3')",9
"('halaman', 'utama')",9
"('analisis', 'deskriptif')",9
"('menyelesaikan', 'permasalahan')",9
"('membedakan', 'bangsa')",9
"('pengujian', 'performa')",9
"('adam', 'optimizer')",9
"('perancangan', 'antarmuka')",9
"('sektor', 'pariwisata')",9
"('media', 'daring')",9
"('pengalaman', 'pengguna')",9
"('naskah', 'masuk')",9
"('ulasan', 'pengguna')",9
"('sentiment', 'analysis')",9
"('korespondensi', 'naskah')",9
"('penulis', 'korespondensi')",9
"('40', 'international')",9
"('sinar', 'grafika')",9
"('unjuk', 'kerja')",9
"('rosmawita', 'saleh')",9
"('kemenristekdikti', 'no')",9
"('012rw', '04')",9
"('rt', '012rw')",9
"('vol', 'penguapan')",9
"('jurnal', 'online')",9
"('httpsjurnalpolinesacidindexphpeksergi', 'copyright')",9
"('the', 'application')",9
"('copyright', 'eksergi')",9
"('meningkatkan', 'kualitas')",9
"('penggunaan', 'smartphone')",9
"('recency', 'frequency')",9
"('pelanggan', 'berdasarkan')",9
"('kekaryaan', 'tarian')",9
"('kekaryaan', 'tari')",9
"('nilai', 'silhouette')",9
"('kerja', 'kelompok')",9
"('kelas', 'ix3')",9
"('pengujian', 'validasi')",9
"('nilainilai', 'karakter')",9
"('hasil', 'perhitungan')",9
"('agustus', '2019')",9
"('the', 'purpose')",9
"('kesehatan', 'fisik')",9
"('3', 'responden')",9
"('looker', 'studio')",9
"('perbedaan', 'hasil')",9
"('episode', '1')",9
"('bin', 'abd')",9
"('akreditasi', 'kemenristekdikti')",9
"('jenderal', 'dewan')",9
"('tim', 'sekretaris')",9
"('poros', 'engkol')",9
"('rt', '01204')",9
"('6', '3')",9
"('aspek', 'uji')",9
"('eissn', '25286579')",9
"('covid', '19')",9
"('nasional', '2019')",9
"('implementation', 'of')",9
"('jasa', 'hukum')",9
"('intent', 'and')",9
"('is', 'the')",9
"('saran', 'berdasarkan')",9
"('box', 'testing')",9
"('ratarata', 'hasil')",9
"('pendidikan', 'kesehatan')",9
"('kemunculan', 'adegan')",9
"('1', '5')",9
"('2', 'metode')",9
"('lambang', 'negara')",9
"('no', '3')",9
"('perkembangan', 'teknologi')",9
"('kinerja', 'model')",9
"('fokus', 'timer')",9
"('jtiik', 'doi')",9
"('tujuan', 'penelitian')",9
"('of', 'information')",9
"('23557699', 'akreditasi')",9
"('pissn', '23557699')",9
"('dalamamira', 'ana')",8
"('pemanfaatan', 'teknologi')",8
"('uji', 'intelligibility')",8
"('jenis', 'premium')",8
"('pusat', 'studi')",8
"('by', 'the')",8
"('kelompok', 'siswa')",8
"('mencapai', 'tujuan')",8
"('continously', 'variable')",8
"('rate', 'factor')",8
"('bakar', 'pertalite')",8
"('torsi', 'tertinggi')",8
"('damayanti', 'dkk')",8
"('tingkat', 'akurasi')",8
"('there', 'are')",8
"('departemen', 'agama')",8
"('jurnal', 'sosial')",8
"('mempelajari', 'bahasa')",8
"('dkk', 'jurnal')",8
"('organik', 'dalamamira')",8
"('abstrak', 'penelitian')",8
"('penelitian', 'metode')",8
"('to', 'understand')",8
"('of', 'revelation')",8
"('grafik', 'perbandingan')",8
"('bahasa', 'nasional')",8
"('meningkatkan', 'kemampuan')",8
"('pencernaan', 'makanan')",8
"('afandi', 'amos')",8
"('neolaka', 'rosmawita')",8
"('kesehatan', 'lingkungan')",8
"('yesus', 'kristus')",8
"('tangki', 'bahan')",8
"('rt', '03rw')",8
"('masyarakat', 'luas')",8
"('n1', 'n2')",8
"('tubuh', 'manusia')",8
"('penggunaan', 'energi')",8
"('bank', 'jatim')",8
"('kacamata', 'media')",8
"('lingkungan', 'indonesia')",8
"('emosi', 'marah')",8
"('februari', '2023')",8
"('data', 'primer')",8
"('menerima', 'kenyataan')",8
"('blackbox', 'testing')",8
"('tersedianya', 'a')",8
"('5', '3')",8
"('organ', 'pencernaan')",8
"('daya', 'tertinggi')",8
"('studi', 'pustaka')",8
"('2022', 'httpdxdoiorg10305962fjpppv3i313222')",8
"('eissn', '27217795')",8
"('minyak', 'bumi')",8
"('memiliki', 'pengaruh')",8
"('lab', 'modul')",8
"('m', 'a')",8
"('berbahan', 'bakar')",8
"('it', 'is')",8
"('in', 'indonesia')",8
"('permasalahan', 'sampah')",8
"('pemesanan', 'layanan')",8
"('1', 'januari')",8
"('2022', '49')",8
"('49', '72')",8
"('jurnal', 'teologi')",8
"('proses', 'perancangan')",8
"('perancangan', 'aplikasi')",8
"('dkk', '2020')",8
"('pengambilan', 'keputusan')",8
"('rr', 'pramesthi')",8
"('pramesthi', 'ratnaningtyas')",8
"('ana', 'damayanti')",8
"('perancangan', 'sistem')",8
"('mata', 'uang')",8
"('contoh', 'data')",8
"('uud', 'negara')",8
"('36ekpt2019', 'eissn')",8
"('eissn', '25974440')",8
"('malang', 'email')",8
"('no', '36ekpt2019')",8
"('berdasarkan', 'atribut')",8
"('style', 'guide')",8
"('thinking', 'skills')",8
"('pengujian', 'unit')",8
"('berdasarkan', 'pernyataan')",8
"('air', 'filter')",8
"('jenis', 'penelitian')",8
"('4', 'kali')",8
"('loss', 'klasifikasi')",8
"('arsitektur', 'model')",8
"('siklus', 'ideal')",8
"('aims', 'to')",8
"('entity', 'recognition')",8
"('daftar', 'rujukan')",8
"('setuju', 'c')",8
"('named', 'entity')",8
"('konsep', 'psikologi')",8
"('aspek', 'fitur')",8
"('bahasa', 'negara')",8
"('pissn', '25974424')",8
"('under', 'a')",8
"('25974424', 'this')",8
"('attribution', '40')",8
"('and', 'technology')",8
"('jurnal', 'komunikasi')",8
"('kholiq', '2015')",8
"('skor', 'dasar')",8
"('memiliki', 'peran')",8
"('kehidupan', 'masyarakat')",8
"('halaman', 'daftar')",8
"('mengalami', 'peningkatan')",8
"('mental', 'generasi')",8
"('visualisasi', 'data')",8
"('customer', 'segmentation')",8
"('tarian', 'siswa')",8
"('juli', '2020')",8
"('setuju', 'd')",8
"('panunggul', 'et')",8
"('energi', 'alternatif')",8
"('teknik', 'elektro')",8
"('april', '2022')",8
"('filter', 'data')",8
"('no1', 'april')",8
"('11', 'no1')",8
"('volume', '11')",8
"('kesehatan', 'volume')",8
"('rineka', 'cipta')",8
"('warga', 'negara')",8
"('72', 'pissn')",8
"('berbasis', 'web')",8
"('skor', 'ratarata')",8
"('setuju', 'e')",8
"('dashboard', 'visualisasi')",8
"('3', '2022')",8
"('lagu', 'kebangsaan')",8
"('pengajaran', 'vol')",8
"('rudianto', 'dkk')",8
"('jurnal', 'manajemen')",8
"('negara', 'republik')",8
"('mengatasi', 'permasalahan')",8
"('27217795', 'jurnal')",8
"('sampah', 'makanan')",8
"('data', 'uji')",8
"('dkk', 'pengetahuan')",8
"('03rw', '07')",8
"('setuju', 'b')",8
"('emosi', 'senang')",8
"('pengaruh', 'model')",8
"('the', 'book')",8
"('book', 'of')",8
"('melaksanakan', 'pembelajaran')",8
"('2021', 'eissn')",8
"('using', 'a')",7
"('indikator', 'pengetahuan')",7
"('visualisasi', 'teks')",7
"('penggunaan', 'ai')",7
"('sengaja', 'dikosongkan')",7
"('a', '2022')",7
"('penulis', 'sastra')",7
"('learning', 'model')",7
"('2023', 'eissn')",7
"('the', 'client')",7
"('legal', 'consultation')",7
"('kebangsaan', 'indonesia')",7
"('kementerian', 'esdm')",7
"('ekonomi', 'indonesia')",7
"('al', '2016')",7
"('imam', 'bonjol')",7
"('food', 'loss')",7
"('jumek', 'jurnal')",7
"('kreatif', 'vol1')",7
"('penggunaan', 'metode')",7
"('research', 'and')",7
"('analisis', 'konsumsi')",7
"('rw07', 'kelurahan')",7
"('mahasiswa', 'pti')",7
"('alsymilah', 'cd')",7
"('cd', 'room')",7
"('menara', 'jurusan')",7
"('muslim', 'bin')",7
"('teknik', 'mesin')",7
"('ab', 'abdillah')",7
"('number', 'of')",7
"('tujuan', 'pembelajaran')",7
"('menambah', 'wawasan')",7
"('sipil', 'ftunj')",7
"('ftunj', 'volume')",7
"('volume', 'vii')",7
"('indonesia', 'jakarta')",7
"('tanah', 'air')",7
"('kandungan', 'emisi')",7
"('pemeliharaan', 'lingkungan')",7
"('orangorang', 'percaya')",7
"('kependidikan', 'vol')",7
"('penggunaan', 'teknologi')",7
"('band', 'clik')",7
"('menjaga', 'kesehatan')",7
"('scale', 'sus')",7
"('faktorfaktor', 'psikologis')",7
"('pedagogi', 'mahasiswa')",7
"('analisis', 'teks')",7
"('calinskiharabasz', 'index')",7
"('20851979', 'eissn')",7
"('komunikasi', 'issn')",7
"('issn', '20851979')",7
"('darurat', 'sampah')",7
"('tenaga', 'angin')",7
"('design', 'ucd')",7
"('computer', 'science')",7
"('siswa', 'sd')",7
"('critical', 'thinking')",7
